stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price,create-at
LDP,0.0,22.7,24.9,-1.7,21.0,0.4,7.1,0.0,22.9,21.0,2024-05-21 10:36:04.934857
LHC,0.0,52.8,58.0,-0.3,52.5,0.4,1.7,0.0,53.0,52.5,2024-05-21 10:36:05.228742
LIG,0.0,3.8,4.1,0.0,3.8,13.0,379.3,0.0,3.9,3.8,2024-05-21 10:36:05.565765
MAC,0.0,14.0,15.4,0.0,14.0,0.9,1.9,0.0,14.0,14.0,2024-05-21 10:36:09.265062
MAS,0.0,33.3,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:09.650649
MBG,0.0,4.3,4.7,0.0,4.3,0.1,170.6,0.0,4.4,4.3,2024-05-21 10:36:09.972826
MDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:10.658415
MED,0.0,27.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:11.029999
MEL,0.0,6.7,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:11.382207
MHL,0.0,3.3,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:11.852357
MKV,0.0,9.7,10.6,0.2,9.9,0.1,0.1,0.0,9.9,9.9,2024-05-21 10:36:12.440801
MST,0.0,5.6,6.1,0.2,5.8,0.8,592.1,0.0,5.8,5.6,2024-05-21 10:36:12.874056
MVB,0.0,21.5,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:13.352887
NAG,0.0,11.7,12.8,0.0,11.7,0.4,118.9,0.0,11.9,11.7,2024-05-21 10:36:13.838043
NAP,0.0,9.1,10.0,0.3,9.4,0.2,0.2,0.0,9.4,9.4,2024-05-21 10:36:14.608661
NBC,0.0,13.0,14.3,-0.1,12.9,0.1,43.4,0.0,13.0,12.9,2024-05-21 10:36:15.077294
NBP,0.0,13.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:15.587938
NBW,0.0,26.2,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:16.541520
NDN,0.0,10.7,11.7,-0.1,10.6,8.6,69.8,0.0,10.8,10.6,2024-05-21 10:36:17.073350
NDX,0.0,6.3,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:17.554437
NET,0.0,103.5,113.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:18.046815
NFC,0.0,14.8,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:18.681130
NHC,0.0,33.0,36.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:19.148967
NRC,0.0,4.7,5.1,-0.1,4.6,0.2,140.5,0.0,4.7,4.5,2024-05-21 10:36:19.683517
NSH,0.0,6.8,7.4,-0.3,6.5,1.8,90.6,0.0,7.0,6.4,2024-05-21 10:36:20.447383
NST,0.0,9.2,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:20.984840
NTH,0.0,64.0,70.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:21.357879
NTP,0.0,47.0,51.7,3.3,50.3,1.5,193.1,0.0,51.0,48.0,2024-05-21 10:36:21.862668
NVB,0.0,9.4,10.3,0.0,9.4,0.8,17.5,0.0,9.5,8.5,2024-05-21 10:36:22.638983
OCH,0.0,6.3,6.9,0.0,6.3,1.0,2.8,0.0,6.3,6.3,2024-05-21 10:36:23.117502
ONE,0.0,7.0,7.7,0.0,7.0,1.4,2.5,0.0,7.0,6.7,2024-05-21 10:36:23.614074
PBP,0.0,11.8,12.9,0.1,11.9,0.1,2.4,0.0,11.9,11.8,2024-05-21 10:36:28.358163
PCE,0.0,19.2,21.1,0.0,19.2,0.2,0.2,0.0,19.2,19.2,2024-05-21 10:36:28.854932
PCG,0.0,6.3,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:29.380847
PGN,0.0,6.4,7.0,-0.1,6.3,0.3,34.2,0.0,6.4,6.3,2024-05-21 10:36:30.018928
PGS,0.0,32.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:30.841536
PGT,0.0,3.4,3.7,0.1,3.5,0.1,0.2,0.0,3.5,3.5,2024-05-21 10:36:31.332356
PHN,0.0,75.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:31.838728
PIA,0.0,26.8,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:32.455611
PIC,0.0,16.7,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:32.970342
PJC,0.0,28.0,30.8,0.0,28.0,0.2,0.2,0.0,28.0,28.0,2024-05-21 10:36:33.406087
PLC,0.0,29.6,32.5,0.1,29.7,0.1,73.1,0.0,29.8,29.5,2024-05-21 10:36:33.866686
PMB,0.0,10.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:34.466710
PMC,0.0,87.0,95.7,0.0,87.0,0.1,0.9,0.0,87.0,87.0,2024-05-21 10:36:35.009259
PMP,0.0,14.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:35.460817
PMS,0.0,32.6,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:35.920928
POT,0.0,19.7,21.6,1.8,21.5,0.1,0.1,0.0,21.5,21.5,2024-05-21 10:36:36.605222
PPE,0.0,13.4,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:37.082576
PPP,0.0,16.9,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:37.513533
PPS,0.0,10.8,11.8,0.0,10.8,0.1,0.2,0.0,10.8,10.8,2024-05-21 10:36:37.978470
PPT,0.0,11.9,13.0,-0.2,11.7,0.3,61.7,0.0,11.9,11.7,2024-05-21 10:36:38.527877
PPY,0.0,9.0,9.9,0.1,9.1,0.1,0.1,0.0,9.1,9.1,2024-05-21 10:36:38.985059
PRC,0.0,21.6,23.7,0.3,21.9,0.2,2.6,0.0,21.9,21.6,2024-05-21 10:36:39.501838
PRE,0.0,19.3,21.2,-0.3,19.0,1.0,1.0,0.0,19.0,19.0,2024-05-21 10:36:39.991798
PSC,0.0,11.1,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:40.954188
